Test Type,Operation,Fernet Time (s),HE Time (s),HE X Times Longer
Integer,setup,0.00206601619720459,0.02164565324783325,10.477000750100975
Integer,encryption,0.00018907785415649413,0.4201569676399231,2222.137380997415
Integer,decryption,0.00020290613174438475,0.05272598266601562,259.85406262851774
Integer,addition,1.0967254638671874e-06,0.0010294437408447266,938.6521739130436
Integer,subtraction,6.67572021484375e-07,0.000883173942565918,1322.9642857142858
Integer,multiplication,6.079673767089843e-07,0.1727944493293762,284216.64705882355
Integer,re_encryption,0.00028864145278930666,,
Float 32 decimals (tolerance 2.928e-09),setup,5.173683166503906e-06,0.020511698722839356,3964.6221198156686
Float 32 decimals (tolerance 2.928e-09),encryption,0.0002030611038208008,0.4259270429611206,2097.53140777269
Float 32 decimals (tolerance 2.928e-09),decryption,0.00015927553176879882,0.05990753173828125,376.1251403338074
Float 32 decimals (tolerance 2.928e-09),addition,7.867813110351562e-07,0.0008742690086364746,1111.1969696969697
Float 32 decimals (tolerance 2.928e-09),subtraction,5.483627319335937e-07,0.0008729934692382812,1592.0
Float 32 decimals (tolerance 2.928e-09),multiplication,5.602836608886719e-07,0.17644762992858887,314925.5319148936
Float 32 decimals (tolerance 2.928e-09),re_encryption,0.0002805233001708984,,
Float 10 decimals (tolerance 5.710e-03),setup,1.0013580322265625e-05,0.020816826820373537,2078.859523809524
Float 10 decimals (tolerance 5.710e-03),encryption,0.00020407438278198243,0.448459529876709,2197.529762252468
Float 10 decimals (tolerance 5.710e-03),decryption,0.0001821279525756836,0.058105218410491946,319.03514857965706
Float 10 decimals (tolerance 5.710e-03),addition,9.417533874511719e-07,0.0009757399559020997,1036.0886075949368
Float 10 decimals (tolerance 5.710e-03),subtraction,6.318092346191406e-07,0.0008177757263183594,1294.3396226415095
Float 10 decimals (tolerance 5.710e-03),multiplication,6.437301635742188e-07,0.18075060844421387,280786.2962962963
Float 10 decimals (tolerance 5.710e-03),re_encryption,0.00028100013732910154,,
Float 3 decimals (tolerance 3.348e-01),setup,5.53131103515625e-06,0.021396636962890625,3868.2758620689656
Float 3 decimals (tolerance 3.348e-01),encryption,0.00020269155502319335,0.4311456441879272,2127.1021584426276
Float 3 decimals (tolerance 3.348e-01),decryption,0.00018467903137207032,0.05710674524307251,309.22159824425506
Float 3 decimals (tolerance 3.348e-01),addition,1.0609626770019532e-06,0.0011060833930969238,1042.5280898876404
Float 3 decimals (tolerance 3.348e-01),subtraction,6.794929504394531e-07,0.0009118556976318359,1341.9649122807016
Float 3 decimals (tolerance 3.348e-01),multiplication,6.794929504394531e-07,0.17694401741027832,260405.9649122807
Float 3 decimals (tolerance 3.348e-01),re_encryption,0.00024710893630981446,,
